"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"13291","France",2007,32,"Female",0,5,0,0,7,1,3,4,4,1,4,4,0,"2007"
"13311","France",2007,55,"Female",0,1,0,1,4,1,1,4,3,1,4,3,0,"2007"
"13321","France",2007,28,"Male",1,5,1,0,10,0,4,6,3,1,6,1,0,"2007"
"13331","France",2007,38,"Male",1,5,1,1,8,0,8,7,7,4,8,5,0,"2007"
"13341","France",2007,68,"Male",1,1,0,0,2,0,8,6,7,1,10,5,0,"2007"
"13351","France",2007,65,"Female",0,2,0,0,4,1,5,7,5,1,7,6,0,"2007"
"13361","France",2007,34,"Male",1,1,0,0,10,0,6,7,1,1,11,6,0,"2007"
"13371","France",2007,56,"Male",1,5,1,0,8,0,1,5,3,5,1,4,0,"2007"
"13381","France",2007,30,"Male",1,5,1,0,8,0,2,5,3,2,4,4,0,"2007"
"13391","France",2007,45,"Female",0,3,0,0,8,1,5,8,5,1,6,5,0,"2007"
"13431","France",2007,65,"Female",0,3,0,0,7,0,8,9,5,1,9,7,0,"2007"
"13441","France",2007,75,"Male",1,1,0,1,5,0,10,8,3,2,8,4,0,"2007"
"13461","France",2007,37,"Female",0,5,0,0,10,0,3,7,6,2,4,5,0,"2007"
"13471","France",2007,45,"Male",1,2,0,0,4,1,2,1,2,2,1,1,0,"2007"
"13481","France",2007,73,"Female",0,1,0,1,3,1,7,8,6,3,7,4,0,"2007"
"13491","France",2007,21,"Male",1,3,1,1,8,0,7,5,4,4,9,3,0,"2007"
"13531","France",2007,51,"Male",1,5,1,0,2,0,9,7,3,4,10,7,0,"2007"
"13541","France",2007,74,"Male",1,5,1,0,7,0,2,6,2,4,4,6,0,"2007"
"13551","France",2007,22,"Female",0,2,1,0,10,0,5,7,5,3,4,4,0,"2007"
"13571","France",2007,54,"Male",1,1,0,0,4,1,6,6,5,5,6,5,0,"2007"
"13581","France",2007,39,"Female",0,3,1,0,6,1,7,7,3,1,7,2,0,"2007"
"13591","France",2007,47,"Female",0,5,0,0,6,1,3,4,2,4,3,8,0,"2007"
"13601","France",2007,48,"Male",1,2,0,0,8,0,1,9,1,1,4,3,0,"2007"
"13611","France",2007,57,"Male",1,1,0,1,2,0,3,5,2,3,7,3,1,"2007"
"13621","France",2007,47,"Male",1,2,0,1,4,1,3,4,3,2,3,7,0,"2007"
"13651","France",2007,57,"Male",1,3,1,0,10,0,8,9,7,2,7,7,0,"2007"
"13671","France",2007,43,"Male",1,1,0,1,5,0,9,13,7,1,10,8,0,"2007"
"13681","France",2007,60,"Female",0,3,1,0,6,0,4,5,4,2,2,4,0,"2007"
"13731","France",2007,36,"Female",0,5,0,1,9,0,6,9,7,2,4,7,0,"2007"
"13761","France",2007,78,"Female",0,1,0,1,1,1,5,5,5,2,7,5,0,"2007"
"13771","France",2007,23,"Male",1,3,0,0,3,0,6,7,7,1,7,7,0,"2007"
"13821","France",2007,60,"Male",1,5,0,0,10,0,8,10,8,4,9,6,0,"2007"
"13841","France",2007,62,"Female",0,1,0,1,1,0,2,5,3,2,8,3,0,"2007"
"13851","France",2007,37,"Female",0,5,1,0,9,0,9,10,1,1,9,6,0,"2007"
"13861","France",2007,64,"Male",1,3,0,0,8,1,9,11,4,4,8,5,0,"2007"
"13871","France",2007,60,"Female",0,5,1,0,4,0,4,5,5,5,2,6,0,"2007"
"13901","France",2007,51,"Female",0,3,0,0,10,0,7,8,7,3,6,6,0,"2007"
"13921","France",2007,34,"Male",1,3,1,0,3,0,6,10,4,1,4,9,0,"2007"
"13941","France",2007,79,"Female",0,1,0,1,2,1,6,7,6,2,8,6,0,"2007"
"13951","France",2007,69,"Female",0,1,0,1,5,1,5,6,4,1,6,5,0,"2007"
"13961","France",2007,28,"Female",0,3,0,0,3,0,7,10,7,1,6,6,0,"2007"
"13981","France",2007,61,"Male",1,5,1,0,9,1,8,11,7,4,9,9,0,"2007"
"13991","France",2007,49,"Male",1,5,1,0,4,0,4,6,4,1,6,5,0,"2007"
"14001","France",2007,38,"Male",1,3,0,0,6,1,3,7,1,1,7,1,0,"2007"
"14021","France",2007,42,"Male",1,3,1,0,5,0,9,8,4,5,9,9,0,"2007"
"14031","France",2007,48,"Male",1,3,1,0,9,0,3,4,1,1,5,2,0,"2007"
"14041","France",2007,38,"Female",0,5,0,0,10,0,7,11,7,1,4,7,0,"2007"
"14051","France",2007,79,"Male",1,5,0,0,9,0,1,12,1,1,1,3,0,"2007"
"14071","France",2007,70,"Female",0,2,0,0,1,0,5,5,4,1,6,5,0,"2007"
"14091","France",2007,32,"Male",1,5,0,0,8,0,4,9,7,1,4,6,0,"2007"
"14101","France",2007,49,"Female",0,3,1,0,1,1,5,7,5,4,7,7,0,"2007"
"14121","France",2007,29,"Female",0,5,1,0,5,0,5,11,4,2,6,5,0,"2007"
"14131","France",2007,61,"Female",0,1,1,0,9,1,7,5,5,2,7,6,0,"2007"
"14141","France",2007,43,"Female",0,5,0,0,10,0,10,10,8,1,9,9,0,"2007"
"14161","France",2007,60,"Female",0,5,1,0,7,0,5,6,3,2,8,5,0,"2007"
"14171","France",2007,49,"Female",0,2,0,0,1,1,6,6,5,2,6,5,0,"2007"
"14191","France",2007,77,"Female",0,3,0,1,3,0,5,9,2,4,5,4,0,"2007"
"14201","France",2007,49,"Female",0,3,0,0,8,1,5,5,5,1,6,6,0,"2007"
"14211","France",2007,39,"Female",0,5,1,0,9,1,5,8,3,2,6,6,0,"2007"
"14251","France",2007,59,"Male",1,3,0,0,3,1,4,4,3,1,7,6,0,"2007"
"14261","France",2007,40,"Female",0,5,1,0,10,1,1,12,3,1,2,1,0,"2007"
"14291","France",2007,35,"Female",0,5,1,0,10,0,1,7,1,1,6,4,0,"2007"
"14331","France",2007,59,"Female",0,3,0,0,8,1,2,1,2,1,2,2,0,"2007"
"14371","France",2007,28,"Male",1,3,1,0,6,1,3,6,2,1,6,3,0,"2007"
"14381","France",2007,41,"Female",0,5,0,0,10,0,3,4,5,4,3,5,0,"2007"
"14451","France",2007,26,"Female",0,3,0,0,8,1,5,7,3,4,6,4,0,"2007"
"14471","France",2007,38,"Female",0,5,1,0,10,1,5,10,3,1,8,7,0,"2007"
"14481","France",2007,76,"Female",0,1,0,0,2,0,8,5,4,2,7,5,0,"2007"
"14491","France",2007,56,"Male",1,3,1,1,7,1,2,4,1,1,6,1,0,"2007"
"14511","France",2007,29,"Female",0,3,1,1,1,0,4,6,4,3,5,5,0,"2007"
"14521","France",2007,53,"Male",1,5,0,0,9,1,7,10,7,1,7,8,0,"2007"
"14551","France",2007,77,"Female",0,2,0,0,2,0,8,9,4,3,9,7,0,"2007"
"14561","France",2007,82,"Female",0,1,1,0,2,1,6,6,6,4,5,8,0,"2007"
"14571","France",2007,51,"Female",0,2,0,0,6,1,4,6,5,2,6,6,0,"2007"
"14581","France",2007,58,"Male",1,5,0,0,8,0,4,7,7,5,2,7,0,"2007"
"14591","France",2007,40,"Male",1,5,0,0,10,0,6,6,4,1,5,4,0,"2007"
"14601","France",2007,62,"Female",0,5,0,0,3,1,4,4,3,3,6,3,0,"2007"
"14641","France",2007,34,"Male",1,2,1,0,8,0,5,9,5,2,6,5,0,"2007"
"14671","France",2007,72,"Male",1,1,0,0,7,0,7,7,7,1,7,6,0,"2007"
"14681","France",2007,34,"Female",0,2,0,0,4,0,5,7,3,1,6,3,0,"2007"
"14701","France",2007,75,"Female",0,5,0,0,8,0,7,8,5,4,8,5,0,"2007"
"14711","France",2007,69,"Male",1,3,0,0,6,1,1,6,1,1,1,6,0,"2007"
"14741","France",2007,59,"Male",1,5,0,0,3,0,4,4,4,4,4,3,0,"2007"
"14751","France",2007,61,"Female",0,1,0,0,4,1,9,8,6,2,9,4,0,"2007"
"14781","France",2007,71,"Female",0,3,0,0,9,0,8,8,7,1,6,5,0,"2007"
"14791","France",2007,57,"Female",0,1,1,0,1,1,3,5,6,1,6,1,0,"2007"
"14801","France",2007,61,"Female",0,3,0,0,3,0,1,1,1,4,3,1,0,"2007"
"14821","France",2007,37,"Male",1,3,0,0,8,1,1,12,2,2,4,2,0,"2007"
"14831","France",2007,39,"Male",1,3,0,0,5,1,1,12,1,5,6,1,0,"2007"
"14841","France",2007,76,"Female",0,2,1,0,7,0,7,7,3,1,9,3,0,"2007"
"14851","France",2007,34,"Female",0,5,0,0,8,0,8,8,7,1,9,5,0,"2007"
"14871","France",2007,81,"Male",1,3,0,0,5,1,7,4,6,1,6,6,0,"2007"
"14881","France",2007,43,"Female",0,3,0,1,4,1,3,4,4,5,4,3,0,"2007"
"14911","France",2007,28,"Male",1,3,1,1,7,0,7,9,6,3,2,5,0,"2007"
"14941","France",2007,23,"Male",1,5,0,0,6,0,3,7,3,4,1,4,0,"2007"
"14961","France",2007,50,"Male",1,3,0,0,8,0,4,5,3,1,8,3,0,"2007"
"14971","France",2007,52,"Female",0,3,0,0,4,1,4,7,4,3,5,4,0,"2007"
"14981","France",2007,53,"Male",1,5,1,0,10,1,6,10,6,4,9,4,0,"2007"
"15031","France",2007,58,"Female",0,2,0,0,5,1,2,4,2,1,4,3,0,"2007"
"15041","France",2007,37,"Female",0,5,1,0,9,0,7,10,8,1,9,7,0,"2007"
"15061","France",2007,53,"Female",0,2,0,0,6,1,5,5,3,2,6,2,0,"2007"
"15071","France",2007,54,"Female",0,2,1,1,3,0,1,12,3,1,6,2,0,"2007"
"15091","France",2007,30,"Female",0,5,0,0,9,1,5,8,5,1,8,4,0,"2007"
"15101","France",2007,61,"Female",0,5,0,0,9,0,8,9,6,1,9,5,0,"2007"
"15131","France",2007,76,"Female",0,1,0,1,3,0,7,6,6,1,6,5,0,"2007"
"15151","France",2007,57,"Male",1,5,0,0,10,0,8,9,6,5,9,1,0,"2007"
"15161","France",2007,35,"Male",1,5,0,0,6,1,4,6,6,2,6,4,0,"2007"
"15191","France",2007,20,"Male",1,3,1,0,8,1,6,8,4,4,9,5,0,"2007"
"15221","France",2007,49,"Male",1,5,0,0,7,0,4,9,4,4,5,5,0,"2007"
"15241","France",2007,78,"Male",1,5,0,0,10,0,9,11,5,4,6,8,0,"2007"
"15251","France",2007,47,"Female",0,5,0,0,10,0,9,9,2,2,8,2,0,"2007"
"15271","France",2007,46,"Female",0,3,1,0,9,0,5,8,3,2,4,5,0,"2007"
"15291","France",2007,56,"Male",1,5,1,0,8,0,4,8,4,3,5,5,0,"2007"
"15301","France",2007,57,"Male",1,1,0,0,6,1,4,5,3,1,9,3,0,"2007"
"15311","France",2007,69,"Female",0,5,0,0,6,1,1,12,1,1,6,1,0,"2007"
"15341","France",2007,64,"Female",0,2,0,0,9,0,7,8,5,2,8,7,0,"2007"
"15371","France",2007,48,"Female",0,5,0,0,6,0,1,10,4,2,1,4,0,"2007"
"15401","France",2007,39,"Female",0,3,0,0,3,1,4,5,8,4,5,6,0,"2007"
"15441","France",2007,46,"Male",1,5,0,0,8,1,6,9,6,2,5,6,0,"2007"
"15471","France",2007,56,"Male",1,3,0,0,5,1,7,8,3,2,7,6,0,"2007"
"15551","France",2007,44,"Female",0,3,1,0,3,0,6,7,4,2,4,2,0,"2007"
"15591","France",2007,52,"Male",1,3,0,0,10,1,7,9,5,5,7,5,0,"2007"
"15601","France",2007,33,"Female",0,5,0,0,8,1,5,5,3,1,6,2,0,"2007"
"15611","France",2007,88,"Female",0,2,0,0,3,0,3,7,3,1,5,4,0,"2007"
"15631","France",2007,27,"Female",0,5,0,0,8,0,4,9,3,1,4,6,0,"2007"
"15641","France",2007,58,"Female",0,1,1,1,7,0,7,7,6,2,4,6,0,"2007"
"15661","France",2007,31,"Female",0,3,0,0,5,0,4,6,1,1,4,6,0,"2007"
"15671","France",2007,58,"Female",0,1,1,0,7,0,1,12,3,1,3,3,0,"2007"
"15681","France",2007,37,"Female",0,3,0,0,9,0,4,12,2,4,6,2,0,"2007"
"15701","France",2007,54,"Female",0,1,0,0,1,0,3,4,6,3,3,5,0,"2007"
"15721","France",2007,74,"Female",0,1,0,0,1,0,2,12,1,3,10,1,0,"2007"
"15761","France",2007,33,"Female",0,5,1,0,3,0,6,9,4,1,6,5,0,"2007"
"15781","France",2007,77,"Male",1,1,1,0,4,0,3,6,2,4,4,4,0,"2007"
"15811","France",2007,39,"Female",0,5,1,0,10,0,2,6,3,4,4,6,0,"2007"
"15821","France",2007,40,"Male",1,3,1,0,2,0,1,5,3,4,3,4,0,"2007"
"15831","France",2007,61,"Male",1,1,0,1,4,1,10,8,8,4,9,8,0,"2007"
"15871","France",2007,29,"Female",0,3,0,0,8,0,4,4,4,3,6,4,0,"2007"
"15891","France",2007,77,"Male",1,5,0,0,10,0,6,5,4,5,8,3,0,"2007"
"15911","France",2007,28,"Female",0,3,0,0,8,1,7,9,5,1,8,5,0,"2007"
"15941","France",2007,35,"Female",0,5,0,0,5,0,7,8,4,3,8,4,0,"2007"
"15951","France",2007,25,"Male",1,5,1,0,1,0,1,12,1,4,4,2,0,"2007"
"15961","France",2007,72,"Male",1,4,0,0,8,0,8,9,4,3,9,7,0,"2007"
"15991","France",2007,60,"Male",1,1,0,1,8,1,7,8,2,3,9,5,0,"2007"
"16011","France",2007,72,"Male",1,1,0,0,2,1,4,5,4,2,5,3,0,"2007"
"16021","France",2007,66,"Male",1,3,0,0,3,0,9,7,4,1,4,1,0,"2007"
"16031","France",2007,37,"Female",0,5,1,0,5,0,1,5,1,4,3,1,0,"2007"
"16061","France",2007,31,"Female",0,5,0,1,6,0,5,5,4,1,6,5,0,"2007"
"16071","France",2007,75,"Male",1,3,0,0,4,0,3,1,2,1,5,3,0,"2007"
"16081","France",2007,41,"Female",0,5,1,0,3,0,5,4,4,5,7,6,0,"2007"
"16091","France",2007,52,"Female",0,3,0,0,10,1,1,12,6,1,1,6,0,"2007"
"16101","France",2007,33,"Female",0,5,1,0,7,0,2,5,1,4,6,6,0,"2007"
"16121","France",2007,42,"Male",1,2,0,0,5,1,1,7,3,2,5,6,0,"2007"
"16141","France",2007,67,"Male",1,3,0,0,1,1,3,8,1,5,2,7,0,"2007"
"16171","France",2007,53,"Female",0,5,0,0,9,1,1,12,1,2,1,1,0,"2007"
"16181","France",2007,62,"Male",1,2,0,0,5,1,4,8,1,2,5,1,0,"2007"
"16191","France",2007,62,"Male",1,5,1,0,10,1,8,8,5,4,8,6,0,"2007"
"16201","France",2007,59,"Male",1,5,1,0,10,0,7,5,5,3,6,5,0,"2007"
"16211","France",2007,41,"Male",1,3,1,0,9,0,8,9,7,5,7,5,0,"2007"
"16221","France",2007,40,"Female",0,3,1,0,10,0,6,7,3,2,8,3,0,"2007"
"16231","France",2007,44,"Male",1,5,0,0,9,0,5,8,4,3,6,7,0,"2007"
"16251","France",2007,50,"Male",1,5,0,0,10,0,5,9,6,4,5,6,0,"2007"
"16261","France",2007,23,"Female",0,5,0,0,3,0,3,5,4,1,5,4,0,"2007"
"16271","France",2007,35,"Male",1,5,0,0,10,1,6,9,5,1,8,6,0,"2007"
"16311","France",2007,68,"Female",0,1,0,1,2,0,4,7,4,4,8,5,0,"2007"
"16321","France",2007,77,"Female",0,1,0,0,1,1,7,9,4,4,7,6,0,"2007"
"16351","France",2007,82,"Female",0,3,0,0,1,0,4,5,2,4,5,4,0,"2007"
"16361","France",2007,44,"Male",1,5,0,0,6,1,9,10,4,2,9,6,0,"2007"
"16371","France",2007,72,"Male",1,1,0,0,4,1,5,12,3,4,7,2,0,"2007"
"16381","France",2007,81,"Male",1,3,0,0,8,0,3,6,3,1,9,6,0,"2007"
"16391","France",2007,52,"Male",1,2,0,0,6,1,7,8,4,3,7,4,0,"2007"
"16401","France",2007,37,"Female",0,5,1,0,4,0,2,4,2,1,4,3,0,"2007"
"16411","France",2007,57,"Male",1,3,0,0,8,0,3,4,3,4,6,3,0,"2007"
"16421","France",2007,77,"Female",0,1,1,1,2,1,5,7,5,4,6,6,0,"2007"
"16431","France",2007,33,"Female",0,3,0,0,9,1,6,7,5,4,8,4,0,"2007"
"16451","France",2007,34,"Male",1,5,0,0,9,1,3,9,4,2,5,6,0,"2007"
"16471","France",2007,40,"Female",0,5,1,0,9,0,3,6,3,3,3,6,0,"2007"
"16481","France",2007,38,"Male",1,5,0,0,9,1,6,8,7,2,4,8,0,"2007"
"16491","France",2007,52,"Female",0,3,1,0,6,0,7,8,5,4,8,6,0,"2007"
"16511","France",2007,38,"Male",1,2,0,0,4,1,8,7,3,2,8,7,0,"2007"
"16551","France",2007,42,"Male",1,3,1,0,6,0,6,6,3,2,7,5,1,"2007"
"16561","France",2007,63,"Female",0,5,0,0,10,1,5,4,2,1,8,2,0,"2007"
"16651","France",2007,84,"Female",0,1,0,1,1,1,8,6,3,2,7,6,0,"2007"
"16661","France",2007,27,"Female",0,5,0,0,9,0,5,6,4,2,8,4,0,"2007"
"16681","France",2007,41,"Female",0,5,0,0,8,0,5,9,5,2,3,8,0,"2007"
"16691","France",2007,68,"Male",1,3,0,0,8,1,5,5,3,3,10,4,0,"2007"
"16701","France",2007,38,"Female",0,3,0,0,8,1,3,4,2,3,3,4,0,"2007"
"16711","France",2007,56,"Female",0,5,0,0,1,0,1,12,1,4,6,1,0,"2007"
"16731","France",2007,52,"Female",0,2,1,1,1,0,6,7,4,1,6,6,0,"2007"
"16751","France",2007,78,"Male",1,1,0,1,7,1,3,4,3,1,5,3,0,"2007"
"16771","France",2007,62,"Male",1,2,1,1,9,0,3,8,5,2,2,5,0,"2007"
"16791","France",2007,50,"Female",0,5,1,0,10,0,2,4,5,1,1,2,0,"2007"
"16801","France",2007,44,"Female",0,3,1,0,7,0,8,10,8,2,9,5,0,"2007"
"16811","France",2007,38,"Male",1,3,0,1,5,0,6,6,4,2,4,4,0,"2007"
"16831","France",2007,68,"Male",1,3,1,1,7,1,3,7,3,1,4,6,0,"2007"
"16861","France",2007,44,"Female",0,5,0,0,7,0,5,8,2,2,6,4,0,"2007"
"16901","France",2007,40,"Male",1,3,0,1,6,1,4,9,3,1,9,3,0,"2007"
"16911","France",2007,26,"Female",0,5,1,0,3,0,4,6,2,2,6,1,0,"2007"
"16951","France",2007,33,"Male",1,3,0,0,3,1,2,10,2,1,2,4,0,"2007"
"16961","France",2007,67,"Male",1,5,0,0,7,1,4,5,4,4,7,3,0,"2007"
"16971","France",2007,68,"Male",1,1,0,1,2,0,6,4,1,2,4,5,0,"2007"
"17001","France",2007,56,"Female",0,3,0,0,9,0,8,9,7,3,9,8,0,"2007"
"17011","France",2007,34,"Male",1,3,1,1,3,0,7,11,2,1,9,3,0,"2007"
"17021","France",2007,51,"Male",1,3,0,0,6,1,3,6,2,5,1,2,0,"2007"
"17031","France",2007,47,"Female",0,2,0,0,10,0,1,4,1,1,1,4,0,"2007"
"17041","France",2007,88,"Male",1,1,1,0,5,1,4,9,5,1,5,6,0,"2007"
"17081","France",2007,81,"Male",1,1,0,0,6,0,9,10,8,2,9,8,0,"2007"
"17091","France",2007,40,"Female",0,5,1,1,8,0,5,7,3,5,5,5,0,"2007"
"17111","France",2007,81,"Female",0,1,0,0,2,0,9,10,5,4,9,6,0,"2007"
"17121","France",2007,49,"Female",0,3,1,1,4,0,3,5,4,2,2,3,0,"2007"
"17161","France",2007,26,"Female",0,2,0,0,8,0,6,9,5,2,8,5,0,"2007"
"17171","France",2007,53,"Female",0,3,0,0,2,0,1,4,2,2,1,5,0,"2007"
"17181","France",2007,52,"Male",1,3,0,0,1,1,7,9,3,3,5,3,0,"2007"
"17211","France",2007,54,"Female",0,2,1,1,1,0,3,4,3,4,9,4,1,"2007"
"17221","France",2007,39,"Male",1,5,0,0,7,0,7,8,4,1,9,6,0,"2007"
"17291","France",2007,43,"Female",0,5,0,0,10,0,4,5,4,4,5,4,0,"2007"
"17311","France",2007,36,"Male",1,3,0,0,5,1,7,7,5,4,5,7,0,"2007"
"17331","France",2007,47,"Female",0,2,1,1,4,1,5,7,3,3,6,6,0,"2007"
"17361","France",2007,37,"Female",0,5,0,0,10,0,7,9,5,4,9,6,0,"2007"
"17371","France",2007,44,"Male",1,3,0,0,6,0,2,1,2,5,6,1,0,"2007"
"17391","France",2007,60,"Female",0,1,0,1,2,0,1,5,1,1,6,1,0,"2007"
"17411","France",2007,54,"Female",0,1,1,0,4,0,7,8,6,2,9,7,0,"2007"
"17421","France",2007,45,"Female",0,3,0,1,4,0,3,5,3,4,5,4,0,"2007"
"17441","France",2007,25,"Male",1,5,0,0,1,0,2,12,2,3,3,4,0,"2007"
"17461","France",2007,46,"Male",1,3,0,0,8,1,5,6,5,1,6,4,0,"2007"
"17471","France",2007,68,"Female",0,2,0,0,1,0,7,6,3,2,6,7,0,"2007"
"17481","France",2007,38,"Female",0,5,1,0,5,0,3,5,4,4,6,2,0,"2007"
"17501","France",2007,45,"Male",1,2,1,0,3,0,3,5,3,1,6,4,0,"2007"
"17511","France",2007,37,"Male",1,3,1,1,5,1,1,12,1,1,4,1,0,"2007"
"17551","France",2007,48,"Female",0,5,0,0,6,0,5,6,4,2,7,6,0,"2007"
"17591","France",2007,29,"Female",0,5,0,0,8,1,8,9,7,1,10,7,0,"2007"
"17611","France",2007,62,"Male",1,3,0,1,3,0,7,7,6,1,9,6,0,"2007"
"17641","France",2007,65,"Female",0,3,1,0,5,0,3,6,1,2,4,4,0,"2007"
"17711","France",2007,33,"Female",0,5,0,0,7,0,1,4,4,1,8,2,0,"2007"
"17741","France",2007,71,"Male",1,3,1,0,5,0,2,7,2,1,1,2,0,"2007"
"17771","France",2007,50,"Male",1,3,0,0,5,1,7,7,5,5,9,5,0,"2007"
"17791","France",2007,44,"Female",0,5,1,0,10,0,6,5,4,2,6,1,0,"2007"
"17801","France",2007,37,"Female",0,5,0,0,9,0,3,4,6,3,4,6,0,"2007"
"17811","France",2007,74,"Female",0,1,0,1,3,0,6,7,6,1,6,6,0,"2007"
"17821","France",2007,70,"Male",1,3,0,0,9,0,6,10,5,1,4,7,0,"2007"
"17841","France",2007,62,"Female",0,1,1,0,3,0,8,9,5,1,4,5,0,"2007"
"17871","France",2007,72,"Male",1,1,0,1,4,0,5,7,3,1,8,5,1,"2007"
"17881","France",2007,26,"Female",0,5,0,0,3,0,5,6,5,1,4,6,0,"2007"
"17931","France",2007,34,"Female",0,5,0,0,10,0,1,5,2,4,2,4,0,"2007"
"17951","France",2007,42,"Female",0,5,1,0,10,1,9,11,7,2,7,6,0,"2007"
"17961","France",2007,47,"Male",1,3,0,1,7,0,7,8,4,2,6,5,0,"2007"
"17971","France",2007,29,"Male",1,5,1,0,5,0,4,5,3,4,5,2,0,"2007"
"17981","France",2007,60,"Female",0,5,0,0,10,1,4,7,2,5,3,6,0,"2007"
"17991","France",2007,71,"Male",1,1,0,1,3,1,7,6,5,3,11,5,0,"2007"
"18041","France",2007,66,"Female",0,2,1,1,2,0,3,5,4,2,9,1,0,"2007"
"18061","France",2007,47,"Female",0,5,0,0,7,0,3,1,3,5,4,7,0,"2007"
"1808","France",2007,79,"Male",1,1,0,0,1,0,7,8,6,2,9,7,0,"2007"
"1810","France",2007,27,"Female",0,5,1,0,7,0,5,8,4,1,6,4,0,"2007"
"1812","France",2007,31,"Male",1,5,0,0,7,0,4,7,2,1,6,3,0,"2007"
"1813","France",2007,43,"Female",0,2,0,1,3,1,1,1,1,3,2,3,0,"2007"
"1815","France",2007,40,"Female",0,3,0,0,7,1,4,6,3,1,7,3,0,"2007"
"1816","France",2007,46,"Female",0,5,0,0,9,0,5,10,6,5,6,7,0,"2007"
"1817","France",2007,56,"Female",0,1,1,0,1,0,1,12,3,3,6,6,0,"2007"
"1820","France",2007,56,"Female",0,5,0,0,10,0,4,6,1,5,6,3,0,"2007"
"1821","France",2007,68,"Male",1,5,0,0,10,0,7,7,4,3,9,8,0,"2007"
"1823","France",2007,39,"Male",1,5,0,0,9,0,9,11,5,3,7,9,0,"2007"
"1825","France",2007,37,"Male",1,2,1,1,2,1,1,12,1,1,1,1,0,"2007"
"1826","France",2007,47,"Female",0,3,1,1,6,0,5,6,6,3,6,3,0,"2007"
"1829","France",2007,52,"Male",1,3,1,0,7,1,3,5,1,2,6,3,0,"2007"
"1831","France",2007,27,"Male",1,5,1,0,8,0,5,10,4,3,4,5,0,"2007"
"1832","France",2007,61,"Female",0,5,1,0,10,0,8,9,8,1,6,5,0,"2007"
"1834","France",2007,37,"Male",1,5,1,0,8,0,4,9,3,4,8,3,0,"2007"
"1835","France",2007,81,"Male",1,4,0,0,4,0,6,9,4,3,1,4,0,"2007"
"1838","France",2007,58,"Male",1,5,1,0,9,1,7,6,4,5,7,4,0,"2007"
"1840","France",2007,30,"Female",0,5,1,0,4,0,3,10,3,4,4,5,0,"2007"
"1841","France",2007,52,"Male",1,5,1,0,6,1,3,1,4,1,3,3,0,"2007"
"1842","France",2007,58,"Male",1,3,1,0,10,1,5,9,2,4,6,2,0,"2007"
"1844","France",2007,55,"Male",1,5,0,0,10,0,6,10,8,1,5,7,0,"2007"
"1845","France",2007,67,"Male",1,3,0,0,7,1,8,13,7,1,8,9,0,"2007"
"1846","France",2007,42,"Female",0,3,0,1,5,1,1,5,1,1,1,1,0,"2007"
"1847","France",2007,44,"Male",1,3,0,0,8,1,9,8,2,2,10,4,0,"2007"
"1848","France",2007,27,"Male",1,5,1,0,3,1,3,5,3,2,4,4,0,"2007"
"1851","France",2007,41,"Female",0,5,1,0,7,1,7,6,5,1,4,4,0,"2007"
"1852","France",2007,83,"Male",1,5,0,0,3,0,5,1,6,4,5,2,0,"2007"
"1853","France",2007,50,"Female",0,3,1,0,8,1,6,7,7,3,7,5,0,"2007"
"1854","France",2007,82,"Female",0,1,0,0,3,0,5,8,5,2,6,4,0,"2007"
"1856","France",2007,66,"Female",0,5,0,0,10,1,3,4,3,2,6,5,0,"2007"
"1860","France",2007,36,"Female",0,5,0,0,10,1,6,6,6,1,7,4,0,"2007"
"1861","France",2007,29,"Female",0,5,1,0,6,0,2,6,4,4,3,2,0,"2007"
"1863","France",2007,24,"Male",1,3,1,1,3,1,7,7,4,2,7,2,0,"2007"
"1865","France",2007,88,"Female",0,1,0,1,1,0,5,6,1,4,9,3,0,"2007"
"1866","France",2007,73,"Male",1,3,0,0,8,0,6,7,4,2,9,7,0,"2007"
"1871","France",2007,63,"Female",0,2,0,0,5,0,5,7,5,4,6,6,0,"2007"
"1872","France",2007,75,"Male",1,5,0,0,7,0,4,6,4,2,6,6,0,"2007"
"1874","France",2007,74,"Female",0,1,0,1,2,0,7,7,2,1,8,7,0,"2007"
"1878","France",2007,61,"Female",0,3,0,0,6,1,2,8,3,4,8,2,0,"2007"
"1879","France",2007,59,"Female",0,2,1,0,6,0,8,9,5,1,10,5,0,"2007"
"1881","France",2007,35,"Female",0,5,1,0,1,0,3,9,3,1,2,4,0,"2007"
"1883","France",2007,39,"Male",1,2,0,0,5,0,7,7,4,2,5,7,0,"2007"
"1885","France",2007,56,"Male",1,3,0,0,8,1,6,6,6,1,9,4,0,"2007"
"1886","France",2007,68,"Male",1,3,1,0,8,0,1,5,3,1,1,3,0,"2007"
"1889","France",2007,58,"Male",1,2,0,0,9,0,5,4,4,2,8,4,1,"2007"
"1890","France",2007,30,"Male",1,5,0,0,10,0,7,8,8,4,9,6,0,"2007"
"1891","France",2007,20,"Female",0,5,0,0,5,1,3,6,2,1,5,3,0,"2007"
"1892","France",2007,72,"Female",0,1,0,0,2,1,1,12,5,4,11,1,0,"2007"
"1893","France",2007,61,"Female",0,5,0,0,9,0,7,10,3,1,7,5,0,"2007"
"1894","France",2007,37,"Male",1,3,0,0,9,1,5,9,5,1,6,8,0,"2007"
"1896","France",2007,60,"Male",1,3,0,0,4,0,3,5,5,1,3,4,0,"2007"
