"","country","election_year","age","gender","men","education","unemployed","blue_collar","household","rural","gov_perform","diss_dem","diss_econ","democrats","lrself","trust_pol","vote_fn","election"
"202","France",2002,37,"Female",0,5,0,0,9,1,5,7,5,2,8,6,0,"2002"
"203","France",2002,54,"Male",1,2,0,0,9,1,8,11,10,1,8,9,0,"2002"
"204","France",2002,51,"Female",0,5,0,0,8,0,2,6,3,2,4,6,0,"2002"
"205","France",2002,42,"Male",1,5,0,0,11,1,4,10,4,5,4,4,0,"2002"
"206","France",2002,33,"Female",0,3,1,0,7,0,1,1,1,2,1,1,0,"2002"
"207","France",2002,68,"Female",0,5,0,0,10,0,5,9,7,3,8,5,0,"2002"
"210","France",2002,51,"Female",0,1,1,0,5,0,2,1,1,3,6,1,1,"2002"
"215","France",2002,72,"Female",0,3,0,0,8,1,9,11,6,1,7,8,0,"2002"
"220","France",2002,35,"Female",0,5,0,0,8,0,8,9,6,1,8,5,0,"2002"
"223","France",2002,55,"Male",1,3,0,0,7,0,6,5,1,5,6,6,0,"2002"
"224","France",2002,28,"Male",1,5,1,0,8,0,8,10,8,1,8,6,0,"2002"
"225","France",2002,72,"Male",1,3,0,0,7,0,6,8,6,1,11,6,1,"2002"
"227","France",2002,44,"Male",1,3,0,1,5,0,6,6,2,3,5,2,0,"2002"
"228","France",2002,48,"Female",0,2,1,0,6,1,6,5,6,2,6,4,0,"2002"
"231","France",2002,56,"Female",0,3,1,0,9,1,5,10,5,2,7,7,0,"2002"
"234","France",2002,39,"Male",1,5,0,0,9,0,5,8,5,4,4,4,0,"2002"
"237","France",2002,68,"Female",0,1,0,0,5,1,7,7,6,2,6,6,0,"2002"
"238","France",2002,42,"Female",0,3,0,0,9,0,3,2,5,1,3,6,0,"2002"
"239","France",2002,33,"Female",0,3,0,0,7,0,7,10,7,3,6,8,0,"2002"
"242","France",2002,48,"Male",1,2,0,1,5,1,3,5,4,2,4,3,0,"2002"
"244","France",2002,44,"Male",1,3,0,0,8,1,4,10,6,1,8,6,0,"2002"
"245","France",2002,54,"Female",0,1,0,0,5,1,8,10,7,4,8,6,0,"2002"
"247","France",2002,24,"Female",0,5,0,0,6,0,7,10,7,1,5,1,0,"2002"
"248","France",2002,81,"Male",1,2,0,1,4,0,6,8,4,3,9,1,0,"2002"
"250","France",2002,47,"Male",1,5,1,0,6,1,4,8,4,4,2,6,0,"2002"
"252","France",2002,53,"Female",0,5,0,0,7,0,6,8,6,5,5,6,0,"2002"
"254","France",2002,78,"Male",1,1,0,0,5,0,4,6,4,4,8,6,0,"2002"
"255","France",2002,39,"Female",0,5,0,0,8,0,6,8,3,5,6,3,0,"2002"
"258","France",2002,29,"Male",1,3,0,1,7,0,3,7,3,5,9,3,1,"2002"
"260","France",2002,21,"Male",1,5,0,1,9,0,3,4,2,2,2,2,0,"2002"
"261","France",2002,34,"Male",1,3,0,0,6,1,6,3,9,1,7,5,0,"2002"
"262","France",2002,46,"Male",1,1,1,1,8,1,4,5,8,2,6,2,1,"2002"
"265","France",2002,74,"Female",0,1,0,0,1,0,6,8,5,2,6,7,0,"2002"
"267","France",2002,26,"Female",0,5,0,0,8,1,4,10,3,3,6,6,0,"2002"
"268","France",2002,26,"Female",0,5,0,0,9,0,7,10,4,5,6,7,0,"2002"
